Code	UZ	RU (SNOMED CT)	EN
  762644008 		Методика оценки созревания костей	Estimation of bone maturation technique
  767095001 		Метод прямой иммунофлуоресценции (квалифицирующее значение)	Direct immunofluorescence technique (qualifier value)
  767096000 		Метод непрямой иммунофлуоресценции	Indirect immunofluorescence technique
  771289004 		Техника окрашивания бенгальским розовым	Rose bengal stain technique
  782518009 		Модифицированный метод инактивации карбапенемов	Modified carbapenem inactivation method
  787997001 		Метод хромогенной гибридизации in situ (значение квалификатора)	Chromogenic in situ hybridization technique (qualifier value)
  787998006 		SISH — метод гибридизации in situ с серебряным усилением	SISH - silver enhanced in situ hybridization technique
  787999003 		Метод окрашивания рецептора человеческого эпидермального фактора роста 2 (квалифицирующее значение)	Human epidermal growth factor receptor 2 staining method (qualifier value)
  788000009 		Метод окрашивания киназы анапластической лимфомы	Anaplastic lymphoma kinase staining method
  789735007 		Техника устойчивой стойки без поддержки на время (квалификационная ценность)	Timed unsupported steady stand technique (qualifier value)
  833315002 		Метод разбавления радионуклидов (квалифицирующее значение)	Radionuclide dilution technique (qualifier value)
  865911008 		Метод конфокальной лазерной сканирующей микроскопии	Confocal laser scanning microscopy technique
  870596008 		Техника шестиметровой ходьбы с хронометражем (квалификационный показатель)	Timed six meter walk technique (qualifier value)
  897048005 		Биоимпедансная спектроскопия	Bioimpedance spectroscopy
  897186003 		Интравитальная микроскопия (квалифицирующее значение)	Intravital microscopy (qualifier value)
  1078210003 		Расчет Z-оценки	Z-score calculation
  1144763007 		Измерение расстояния методом шестиминутной ходьбы	Distance measurement of six minute walk technique
  1156040003 		Самооценка (значение квалификатора)	Self reported (qualifier value)
  1156860005 		Метод иммуноферментного анализа для быстрого обнаружения антигенов (квалифицирующее значение)	Rapid antigen detection immunoassay technique (qualifier value)
  1156878000 		Метод амплификации нуклеиновых кислот	Nucleic acid amplification technique
  1179120009 		Метод фракционирования (значение квалификатора)	Fractionation technique (qualifier value)
  1179171006 		Методика испытания на устойчивость пузырьков	Bubble stability test technique
  1193851001 		Локальная реконструкция лоскута путем перемещения - действие (квалифицирующее значение)	Local flap reconstruction by advancement - action (qualifier value)
  1204227006 		Локальная реконструкция лоскута методом ротационного продвижения - действие (квалифицирующее значение)	Local flap reconstruction by rotation advancement technique - action (qualifier value)
  66691000052100 		Метод электрохемилюминесцентного иммуноанализа	Electrochemiluminescence immunoassay technique
  66701000052100 		Метод иммуноферментного анализа с флуоресценцией (квалифицирующее значение)	Fluorescent enzyme immunoassay technique (qualifier value)
  66711000052103 		Метод линейного иммуноферментного анализа	Line immunoassay technique
  66721000052106 		Метод рекомбинантного иммуноблоттинга (значение квалификатора)	Recombinant immunoblot assay technique (qualifier value)
  66731000052108 		Метод иммунохроматографического исследования	Immunochromatographic test technique
  66741000052102 		Метод иммуноферментного анализа с использованием хемилюминесцентных микрочастиц	Chemiluminescent microparticle immunoassay technique
  68431000052104 		Метод иммуноферментного анализа	Enzyme-linked immunosorbent assay technique
  70521000052109 		Метод аффинной хроматографии (значение квалификатора)	Affinity chromatography technique (qualifier value)
  70531000052106 		Метод электрофореза в агарозном геле (квалифицирующее значение)	Agarose gel electrophoresis technique (qualifier value)
  70541000052100 		Метод хемилюминесценции	Chemiluminescence technique
  70551000052102 		Метод иммуноферментного анализа (значение квалификатора)	Enzyme-multiplied immunoassay technique (qualifier value)
  70561000052104 		Метод газовой хроматографии (квалифицирующее значение)	Gas chromatography technique (qualifier value)
  70581000052105 		Метод капиллярного электрофореза (квалифицирующее значение)	Capillary electrophoresis technique (qualifier value)
  70591000052107 		Метод пиросеквенирования	Pyrosequencing technique
  70601000052104 		Метод полимеразной цепной реакции в реальном времени (значение квалификатора)	Real-time polymerase chain reaction technique (qualifier value)
  70611000052102 		Метод кривой плавления	Melting curve technique
  70621000052105 		Спектрофотометрический метод (квалифицирующее значение)	Spectrophotometric technique (qualifier value)
  83561000052101 		Метод фотометрии (квалифицирующее значение)	Photometry technique (qualifier value)
  83581000052107 		Метод времяпролетной масс-спектрометрии с ионизацией лазерной десорбцией с использованием матрицы (квалифицирующее значение)	Matrix assisted laser desorption ionization time of flight mass spectrometry technique (qualifier value)
  83591000052109 		Методика иммуноферментного турбидиметрического анализа с использованием частиц (квалифицирующее значение)	Particle-enhanced turbidimetric immunoassay technique (qualifier value)
  83601000052101 		Метод потенциометрии (квалифицирующее значение)	Potentiometry technique (qualifier value)
  83611000052104 		Турбидиметрический метод	Turbidimetric technique
  129264002 		Действие	Action
  129265001 		Оценка - действие	Evaluation - action
  129266000 		Измерение - действие	Measurement - action
  129267009 		Административные меры	Administrative action
  129268004 		Наблюдение - действие	Observation - action
  129269007 		Помощь - действие	Assisting - action
  129271007 		Управление - действие	Management - action
  129272000 		Стимуляция - действие	Stimulation - action
  129273005 		Прием - действие	Admission - action
  129274004 		Разряд - действие	Discharge - action
  129275003 		Административный перевод - действие (значение квалификатора)	Administrative transfer - action (qualifier value)
  129276002 		Направление - действие	Referral - action
  129277006 		Административное распоряжение - действие	Administrative disposition - action
  129278001 		Аудит - действие	Audit - action
  129279009 		Судебно-медицинские действия	Medicolegal action
  129280007 		Судебно-медицинские показания - действие	Medicolegal testimony - action
  129283009 		Обучение - действие	Training - action
  129284003 		Хирургическое действие	Surgical action
  129286001 		Микрохирургия - действие	Microsurgery - action
  129287005 		Разрез - действие	Incision - action
  129289008 		Дренаж - действие	Drainage - action
  129291000 		Бурение - действие	Drilling - action
  129292007 		Эвакуация - действие	Evacuation - action
  129293002 		Рассечение - действие	Dissection - action
  129294008 		Обсуждение - действие	Discission - action
  129295009 		Продольная резка - действие	Slitting - action
  129296005 		Деление пополам - действие	Bisection - action
  129297001 		Бифуркация - действие	Bifurcation - action
  129298006 		Разделение - действие	Division - action
  129299003 		Выпуск - действие	Release - action
  129300006 		Прокол - действие	Puncture - action
  129301005 		Шрамирование - действие	Scarification - action
  129303008 		Удаление - действие	Removal - action
  129304002 		Эксцизия - действие	Excision - action
  129305001 		Клиновидная резекция - действие	Wedge resection - action
  129306000 		Хирургическое удаление - действие	Surgical removal - action
  129307009 		Высылка - действие	Expulsion - action
  129308004 		Реэксцизия - действие	Reexcision - action
  129309007 		Ампутация - действие	Amputation - action
  129310002 		Трансфиксация - действие	Transfixion - action
  129311003 		Потрошение - действие	Evisceration - action
  129312005 		Энуклеация - действие	Enucleation - action
  129313000 		Трепанация - действие	Trephination - action
  129314006 		Биопсия - действие	Biopsy - action
  129315007 		Инцизионная биопсия - действие	Incisional biopsy - action
  129316008 		Стремление - действие	Aspiration - action
  129317004 		Дебридинг - действие	Debridement - action
  129318009 		Блюдцеобразование - действие	Saucerization - action
  129319001 		Кюретаж - действие	Curettage - action
  129321006 		Обрезка - действие	Trimming - action
  129322004 		Бритье - действие	Shaving - action
  129323009 		Скрапинг - действие	Scraping - action
  129324003 		Филетирование - действие	Filleting - action
  129325002 		Введение - действие	Introduction - action
  129326001 		Инъекция - действие	Injection - action
  129327005 		Татуировка - действие	Tattooing - action
  129328000 		Инфляция - действие	Inflation - action
  129330003 		Инфузия - действие	Infusion - action
  129331004 		Перфузия - действие	Perfusion - action
  129332006 		Орошение - действие	Irrigation - action
  129333001 		Инсуффляция - действие	Insufflation - action
  129334007 		Закапывание - действие	Instillation - action
  129335008 		Эмболизация - действие	Embolization - action
  129336009 		Имплантация - действие	Implantation - action
  129337000 		Реимплантация - действие	Reimplantation - action
  129338005 		Хирургическая имплантация - действие	Surgical implantation - action
  129339002 		Интубация - действие	Intubation - action
  129340000 		Зондирование - действие	Sounding - action
  129344009 		Хирургическая рецессия - действие	Surgical recession - action
  129345005 		Резекция-рецессия - действие	Resection-recession - action
  129346006 		Радиальный разрез - действие	Radial incision - action
  129347002 		Хирургический перенос - действие	Surgical transfer - action
  129348007 		Z-пластика - действие	Z-plasty - action
  129349004 		Хирургическое удлинение - действие	Surgical lengthening - action
  129350004 		Хирургическое укорочение - действие	Surgical shortening - action
  129351000 		Хирургическое увеличение - действие	Surgical augmentation - action
  129352007 		Хирургическое развитие - действие	Surgical advancement - action
  129353002 		Подвешивание и фиксация - действие	Suspension and fixation - action
  129354008 		Экстериоризация - действие	Exteriorization - action
  129355009 		Сумчатость - действие	Marsupialization - action
  129356005 		Подкрепление - действие	Reinforcement - action
  129357001 		Закрытие - действие	Closure - action
  129358006 		Многослойное закрытие - действие	Layered closure - action
  129360008 		Оверлочная строчка - действие	Oversewing - action
  129366002 		Закрытие с помощью сгибания - действие	Closure by buckling - action
  129368001 		Серкляж - действие	Cerclage - action
  129369009 		Лигирование - действие	Ligation - action
  129371009 		Фиксация - действие	Fixation - action
  129372002 		Криопексия - действие	Cryopexy - action
  129373007 		Пликация - действие	Plication - action
  129374001 		Имбрикация - действие	Imbrication - action
  129376004 		Строительство - действие	Construction - action
  129377008 		Реконструкция - действие	Reconstruction - action
  129378003 		Стабилизация - действие	Stabilization - action
  129379006 		Слияние - действие	Fusion - action
  129380009 		Якорь - действие	Anchoring - action
  129381008 		Расширение - действие	Enlargement - action
  129382001 		Разрушение - действие	Destruction - action
  129383006 		Авульсия - действие	Avulsion - action
  129384000 		Декортикация - действие	Decortication - action
  129385004 		Раздевание - действие	Stripping - action
  129386003 		Снятие швов и перевязка - действие	Stripping and ligation - action
  129387007 		Абразивное воздействие - действие	Abrasion - action
  129388002 		Салабразия - действие	Salabrasion - action
  129389005 		Шлифовка - действие	Grinding - action
  129390001 		Коагуляция - действие	Coagulation - action
  129391002 		Уничтожение - действие	Obliteration - action
  129392009 		Прижигание - действие	Cauterization - action
  129393004 		Криохирургия - действие	Cryosurgery - action
  129394005 		Термокоагуляция - действие	Thermocautery - action
  129395006 		Фулгурация - действие	Fulguration - action
  129396007 		Электродесикация - действие	Electrodesiccation - action
  129397003 		Электрокоагуляция - действие	Electrocoagulation - action
  129398008 		Гальванокоагуляция - действие	Galvanocauterization - action
  129399000 		Электродеструкция - действие	Electrodestruction - action
  129400007 		Дробление - действие	Crushing - action
  129401006 		Фрагментация - действие	Fragmentation - action
  129402004 		Эмульгирование - действие	Emulsification - action
  129403009 		Химиохирургия - действие	Chemosurgery - action
  129404003 		Химикоаутеризация - действие	Chemocautery - action
  129405002 		Фотокоагуляция - действие	Photocoagulation - action
  129406001 		Трансплантация - действие	Transplantation - action
  129407005 		Прививка - действие	Grafting - action
  129408000 		Манипуляция - действие	Manipulation - action
  129409008 		Мобилизация - действие	Mobilization - action
  129410003 		Ремобилизация - действие	Remobilization - action
  129411004 		Тяга - действие	Traction - action
  129412006 		Ручное уменьшение - действие	Manual reduction - action
  129413001 		Возвышение - действие	Elevation - action
  129414007 		Инструментальная высота - действие	Instrumental elevation - action
  129415008 		Извлечение - действие	Extraction - action
  129416009 		Хирургическое извлечение - действие	Surgical extraction - action
  129418005 		Выражение - действие	Expression - action
  129419002 		Дилатация - действие	Dilation - action
  129420008 		Растяжка - действие	Stretching - action
  129421007 		Расширение и растяжение - действие	Dilation and stretching - action
  129423005 		Бужирование - действие	Bougienage - action
  129424004 		Подгонка - действие	Fitting - action
  129425003 		Применение - действие	Application - action
  129426002 		Регулировка - действие	Adjustment - action
  129427006 		Сокращение - действие	Reduction - action
  129430004 		Консультация - действие	Consultation - action
  129431000 		Сбор истории - действие	History taking - action
  129433002 		Инспекция - действие	Inspection - action
  129434008 		Пальпация - действие	Palpation - action
  129435009 		Ударные - действие	Percussion - action
  129436005 		Аускультация - действие	Auscultation - action
  129437001 		Оптическое просвечивание - действие	Optical transillumination - action
  129438006 		Рецепт - действие	Prescription - action
  129441002 		Консультирование - действие	Counseling - action
  129442009 		Ионтофорез - действие	Iontophoresis - action
  129443004 		Электролиз - действие	Electrolysis - action
  129445006 		Администрация - действие	Administration - action
  129449000 		Функциональная оценка - действие	Functional assessment - action
  183648002 		Долгосрочная помощь	Long-term assistance
  245854003 		Проксимальный анастомоз	Proximal anastomosis
  245855002 		Дистальный анастомоз	Distal anastomosis
  255595002 		Дебуксировка - действие	Debulking - action
  256644001 		Штопка - действие	Darning - action
  257729003 		Абляция	Ablation
  257730008 		Химическое разрушение	Chemical destruction
  257739009 		Открытая регулировка	Open adjustment
  257741005 		Анастомоз	Anastomosis
  257742003 		Прямой анастомоз - действие	Direct anastomosis - action
  257743008 		Маневр Лекомпта (значение классификатора)	Lecompte maneuver (qualifier value)
  257744002 		Анастомоз конец в конец	End-to-end anastomosis
  257745001 		Двуствольный анастомоз конец в конец - действие (квалифицирующее значение)	Double barreled end-to-end anastomosis - action (qualifier value)
  257746000 		Анастомоз конец в бок	End-to-side anastomosis
  257747009 		Ру-ан-И	Roux-en-Y
  257748004 		Анастомоз конец в бок без туннеля	End-to-side anastomosis without tunnel
  257749007 		Анастомоз конец в бок с туннелем	End-to-side anastomosis with tunnel
  257750007 		Анастомоз бок в бок	Side-to-side anastomosis
  257751006 		Анастомоз «бок в конец» по Уоллесу 1969 года — действие (квалифицирующее значение)	Wallace 1969 side-to-end anastomosis - action (qualifier value)
  257759008 		FNA – тонкоигольная аспирационная биопсия	FNA - Fine needle aspiration
  257768005 		Связывание - действие	Binding - action
  257777003 		Химическая инактивация	Chemical inactivation
  257778008 		Хемодиссолюция	Chemodissolution
  257780002 		Массовое закрытие	Mass closure
  257781003 		Прерванное массовое закрытие	Interrupted mass closure
  257782005 		Непрерывное массовое закрытие	Continuous mass closure
  257783000 		Термокоагуляция	Thermocoagulation
  257784006 		Термическая коагуляция по Семму	Semm thermal coagulation
  257785007 		Термическая коагуляция по Вольфу	Wolf thermal coagulation
  257786008 		Криотерапия - действие	Cryotherapy - action
  257788009 		Расслоение	Delamination
  257789001 		Гидроделаминация	Hydrodelamination
  257791009 		Высушивание - действие	Desiccation - action
  257802002 		Смещение вперед	Anterior displacement
  257803007 		Смещение назад	Posterior displacement
  257804001 		Боковое смещение	Lateral displacement
  257805000 		Медиальное смещение	Medial displacement
  257806004 		Закрытая ректальная диссекция	Close rectal dissection
  257808003 		Ультразвуковая диссекция	Ultrasonic dissection
  257811002 		Наружный дренаж	External drainage
  257817003 		Цифровая эвакуация	Digital evacuation
  257821005 		Ручное выражение	Manual expression
  257822003 		Экстракапсулярная экстракция	Extracapsular extraction
  257824002 		Внутрикапсулярная экстракция	Intracapsular extraction
  257825001 		Фенестрация - действие	Fenestration - action
  257846005 		Баллистическая фрагментация	Ballistic fragmentation
  257850003 		Механическое дробление	Mechanical fragmentation
  257855008 		Электромагнитная импульсная фрагментация	Electromagnetic pulse fragmentation
  257857000 		Гальванизм	Galvanism
  257859002 		Высокоинтенсивный сфокусированный ультразвук	High intensity focused ultrasound
  257863009 		Радиоактивное разрушение	Radioactive destruction
  257867005 		Вставка - действие (квалификатор значения)	Insertion - action (qualifier value)
  257878002 		Килинг - действие	Keeling - action
  257880008 		Локализация	Localization
  257884004 		Иммобилизация - действие	Immobilization - action
  257885003 		Окклюзия	Occlusion
  257886002 		Оперативное УЗИ	Operative ultrasound
  257889009 		Прокладка	Padding
  257890000 		Пилинг - действие	Peeling - action
  257893003 		Давление - действие	Pressure - action
  257894009 		Давление одной рукой	One handed pressure
  257895005 		Давление двумя руками	Two handed pressure
  257897002 		Реорганизация - действие	Realignment - action
  257903006 		Ремонт - действие	Repair - action
  257905004 		Ремонт киля	Keel repair
  257906003 		Ремонт Майо	Mayo repair
  257907007 		Исправление - действие	Patching - action
  257911001 		Ремонт рецидива	Repair of recurrence
  257912008 		Вращение - действие	Rotation - action
  257913003 		IR - Внутреннее вращение	IR - Internal rotation
  257914009 		Внешнее вращение	External rotation
  257915005 		Отбор проб	Sampling
  257916006 		Двусторонняя выборка	Bilateral sampling
  257917002 		Двусторонняя последовательная выборка	Bilateral sequential sampling
  257918007 		Двусторонний одновременный отбор проб	Bilateral simultaneous sampling
  257926004 		Односторонняя выборка	Unilateral sampling
  257928003 		Сегментация	Segmentation
  257933004 		Тампонада - действие	Tamponade - action
  257935006 		Сужение - действие	Tapering - action
  257937003 		Пересадка мягких тканей	Soft tissue transfer
  257938008 		Перенос костного блока	Transfer of bone block
  257940003 		Транспозиция - действие	Transposition - action
  258061005 		Фотостимуляция	Photic stimulation
  260222006 		СПЕКТ	SPECT
  261027000 		Последовательный анастомоз	Sequential anastomosis
  261191006 		Открытая добыча	Open extraction
  261197005 		Допплеровский цветовой поток	Doppler color flow
  261198000 		Допплеровский непрерывный сигнал	Doppler continuous wave
  261199008 		Допплеровский импульсный	Doppler pulsed
  261391004 		Шлифовка - действие	Resurfacing - action
  261498006 		Реконструкция кости, сухожилия надколенника и кости	Bone-patellar tendon-bone reconstruction
  261499003 		Реконструкция связок с помощью плетеного протеза	Braided prosthetic ligament reconstruction
  261518005 		Цистодиатермия	Cystodiathermy
  261519002 		Диатермическая эксцизия	Diathermy excision
  261526002 		Электромагнитная фрагментация	Electromagnetic fragmentation
  261545006 		Петлевая диатермическая эксцизия	Loop diathermy excision
  261553003 		REDY - Регенерация диализата	REDY - Regeneration of dialysate
  261569005 		Термокомпактирование	Thermocompaction
  261576000 		Ультразвуковая фрагментация	Ultrasound fragmentation
  262143007 		Анастомоз «бок в конец»	Side-to-end anastomosis
  263720003 		Сжатие	Compression
  264592006 		Внутрипузырная лекарственная терапия	Intravesical drug therapy
  264594007 		Лазер - действие	Laser - action
  264730003 		Боковое вращение	Lateral rotation
  264739002 		Медиальная ротация	Medial rotation
  272381008 		Микрососудистый анастомоз - действие	Microvascular anastomosis - action
  274392008 		EUA - Исследование под наркозом	EUA - Examination under anesthetic
  276734006 		Механическая помощь	Mechanical assistance
  277261002 		Эксцизионная биопсия	Excision biopsy
  277607009 		Цифровое удаление	Digital removal
  277763000 		Переделка	Refashioning
  277851003 		Кондуитный анастомоз	Conduit anastomosis
  277852005 		Резервуарный анастомоз	Reservoir anastomosis
  278110001 		Рентгенографическое изображение	Radiographic imaging
  278292003 		Ультразвуковая визуализация	Ultrasound imaging
  278312000 		Повторное присоединение - действие	Reattachment - action
  278313005 		Регенерация	Regeneration
  278420002 		Уплотнение	Sealing
  281609006 		Криоабляция - действие	Cryoablation - action
  281613004 		Декомпрессия - действие	Decompression - action
  281615006 		Исследование - действие	Exploration - action
  281698007 		Криокоагуляция - действие	Cryocautery - action
  281767003 		Ручная дилатация	Manual dilatation
  281838007 		Экзартикуляция - действие	Disarticulation - action
  281839004 		Экзентерация	Exenteration
  282015008 		Биопсия бритья - действие	Shave biopsy - action
  282089006 		Замена - действие	Replacement - action
  282722008 		Ультразвуковая деструкция	Ultrasound destruction
  286553006 		Пластическая операция	Plastic operation
  286637000 		Блок диссекции	Block dissection
  286792001 		Денервация	Denervation
  287682008 		Применение каустики	Application of caustics
  288324002 		Эверсия - действие	Eversion - action
  288466002 		Диатермический разрез	Diathermy incision
  288468001 		Disimpaction - действие	Disimpaction - action
  289928003 		Редукционная пластика	Reduction plasty
  289930001 		Разрушение ферментов	Enzyme destruction
  289936007 		Бритье иссечение	Shave excision
  289938008 		Микрохирургическое восстановление	Microsurgical repair
  290001001 		Рецессия - действие	Recession - action
  297179000 		Микрохирургический анастомоз	Microsurgical anastomosis
  297183000 		Реваскуляризация	Revascularization
  298053008 		Деваскуляризация - действие	Devascularization - action
  298116000 		Применение вещества	Application of substance
  299712004 		Остеоклазия - действие	Osteoclasis - action
  299893001 		Интерпозиционный анастомоз - действие	Interposition anastomosis - action
  302193003 		Действия по модальности	Actions by modality
  302196006 		Освобождение - действие	Freeing - action
  302199004 		Экзамен - действие	Examination - action
  302204005 		Ультразвук - действие	Ultrasound - action
  302205006 		Микроволновая печь - действие	Microwave - action
  303893007 		Функциональная модификация	Functional modification
  303894001 		Структурная модификация	Structural modification
  303955003 		Переливание - действие	Transfusion - action
  303996000 		Терминализация	Terminalization
  303998004 		Неиспользованные значения действий	Unused action values
  304054006 		Структурная поддержка - действие	Structural support - action
  304904003 		Ручная эвакуация	Manual evacuation
  312236008 		Дуплексное УЗИ	Duplex ultrasound
  312250003 		Магнитно-резонансная томография	Magnetic resonance imaging
  312251004 		Метод компьютерной томографии	Computed tomography technique
  312254007 		Обычная рентгенография	Plain X-ray imaging
  312275004 		Флюороскопическая визуализация	Fluoroscopic imaging
  312336005 		Открытие - действие	Opening - action
  312337001 		Термографическое изображение	Thermography imaging
  312421008 		Радионуклидная визуализация	Radionuclide imaging
  312883004 		Десенсибилизация - действие	Desensitization - action
  313029009 		Брахитерапия - действие	Brachytherapy - action
  360017003 		Вырезка - действие	Clipping - action
  360018008 		Методика дозирования стимула	Stimulus dosing technique
  360020006 		Экстирпация - действие	Extirpation - action
  360021005 		Обход - действие	Bypass - action
  360025001 		Сбор урожая - действие	Harvesting - action
  360027009 		Вмешательство - действие	Interposition - action
  360028004 		Хирургическая биопсия - действие	Surgical biopsy - action
  360029007 		Нехирургическая биопсия - действие	Nonsurgical biopsy - action
  360032005 		Реконструкция лоскута - действие	Flap reconstruction - action
  360037004 		Визуализация - действие	Imaging - action
  360038009 		Склеивание - действие	Gluing - action
  360051004 		Хирургический туалет	Surgical toilet
  360060007 		Приближение - действие	Approximation - action
  360082000 		Аппозиция - действие	Apposition - action
  360084004 		Септация - действие	Septation - action
  360087006 		Непрямой анастомоз - действие	Indirect anastomosis - action
  360146007 		Репозиционирование - действие	Repositioning - action
  360147003 		Внимание - действие	Attention - action
  360148008 		Акушерское действие	Obstetric action
  360149000 		Доставка - действие	Delivery - action
  360150000 		Замена вкладыша - действие	Inlay replacement - action
  360152008 		Мониторинг - действие	Monitoring - action
  360153003 		Сделать впечатление - действие	Take impression - action
  360154009 		Примерка устройства - действие	Try-in of device - action
  360160009 		Проверка - действие	Checking - action
  360161008 		Индукция - действие	Induction - action
  360163006 		Проникновение - действие	Infiltration - action
  360165004 		Аферез - действие	Apheresis - action
  360166003 		Фильтрация - действие	Filtration - action
  360220002 		Картографирование - действие	Mapping - action
  360222005 		Массаж - действие	Massage - action
  360223000 		Киносъемка - действие	Cine imaging - action
  360226008 		Электрический разряд - действие	Electrical discharge - action
  360231005 		Видеосъемка - действие	Video imaging - action
  360232003 		Спектроскопия - действие	Spectroscopy - action
  360239007 		Прекращение - действие	Termination - action
  360240009 		Связь - действие	Connection - action
  360270004 		Терапия - действие	Therapy - action
  360272007 		Обсуждение - действие	Discussion - action
  360273002 		Положение - действие	Provision - action
  360314001 		Резка - действие	Cutting - action
  360315000 		Подача - действие	Filing - action
  360323003 		Восстановление - действие	Restore - action
  360324009 		Обтурация - действие	Obturation - action
  360325005 		Простое удаление - действие	Simple removal - action
  360393008 		Дезинсекция - действие	Disinsertion - action
  362939006 		Расторжение - действие	Dissolution - action
  363659002 		Темп - действие	Pacing - action
  363678002 		Позитронно-эмиссионная томография	Positron emission tomographic imaging
  367529003 		Кредитование - действие	Lending - action
  367558000 		Контурирование - действие	Contouring - action
  367559008 		Подготовка - действие	Preparation - action
  367642006 		Инверсия - действие	Inversion - action
  367740008 		Приостановление - действие	Suspension - action
  369242005 		Гифрекаця - действие	Hyfrecation - action
  386746003 		Техническое обслуживание - действие (квалификатор значения)	Maintenance - action (qualifier value)
  399009009 		Ультразвук в режиме B (квалифицирующее значение)	B mode ultrasound (qualifier value)
  399015009 		Томографическое изображение, простое рентгенологическое - действие (значение квалификатора)	Tomographic imaging, plain radiologic - action (qualifier value)
  399035005 		Томографическое изображение - действие (значение квалификатора)	Tomographic imaging - action (qualifier value)
  399064001 		Ультразвук в двухмерном режиме - действие (значение квалификатора)	Two dimensional mode ultrasound - action (qualifier value)
  399155008 		Ультразвук в М-режиме (квалифицирующее значение)	M-mode ultrasound (qualifier value)
  410460000 		Освещение - действие (квалификатор значения)	Illumination - action (qualifier value)
  410461001 		Двойное рассеянное прямое освещение - действие (квалифицирующее значение)	Dual diffuse direct illumination - action (qualifier value)
  410462008 		Прямое освещение тонким щелевым лучом - действие (квалифицирующее значение)	Fine slit beam direct illumination - action (qualifier value)
  410463003 		Широкое тангенциальное прямое освещение - действие (квалифицирующее значение)	Broad tangential direct illumination - action (qualifier value)
  410464009 		Непрямое склеротическое рассеянное освещение - действие (значение квалификатора)	Indirect sclerotic scatter illumination - action (qualifier value)
  410465005 		Непрямое ретроиллюминирование от радужной оболочки глаза - действие (значение квалификатора)	Indirect retroillumination from the iris - action (qualifier value)
  410466006 		Непрямое ретроиллюминирование от сетчатки - действие (квалифицирующее значение)	Indirect retroillumination from the retina - action (qualifier value)
  410467002 		Непрямое просвечивание радужной оболочки глаза - действие (значение квалификатора)	Indirect iris transillumination - action (qualifier value)
  410756002 		Хирургическая декомпрессия - действие (квалифицирующее значение)	Surgical decompression - action (qualifier value)
  410757006 		Декомпрессионное иссечение - действие (квалифицирующее значение)	Decompressive excision - action (qualifier value)
  410758001 		Декомпрессионный разрез - действие (квалифицирующее значение)	Decompressive incision - action (qualifier value)
  410759009 		Декомпрессивное деление - действие (значение квалификатора)	Decompressive division - action (qualifier value)
  410769003 		Снижение высоты - действие (квалификатор значения)	Elevation reduction - action (qualifier value)
  410814006 		Хирургическая редукция - действие (квалифицирующее значение)	Surgical reduction - action (qualifier value)
  410817004 		Ремонт расширения - действие (квалифицирующее значение)	Dilation repair - action (qualifier value)
  410820007 		Хирургическая трансплантация - действие (квалифицирующее значение)	Surgical transplantation - action (qualifier value)
  415186003 		Проксимальное освещение - действие (квалифицирующее значение)	Proximal illumination - action (qualifier value)
  416677001 		Внутренний дренаж - действие (квалифицирующее значение)	Internal drainage - action (qualifier value)
  419385000 		Использовать	Use
  419652001 		Брать	Take
  419656003 		Обследование И/ИЛИ сбор анамнеза - действие (квалифицирующее значение)	Examination AND/OR history taking - action (qualifier value)
  419988009 		Действие введения препарата (значение квалификатора)	Action of drug administration (qualifier value)
  424208002 		Шунт - действие (квалификатор значения)	Shunt - action (qualifier value)
  424832003 		Хирургическое введение - действие (квалифицирующее значение)	Surgical introduction - action (qualifier value)
  424900004 		Рекомендация - действие (квалифицирующее значение)	Recommendation - action (qualifier value)
  425362007 		Хирургическая вставка - действие (квалифицирующее значение)	Surgical insertion - action (qualifier value)
  425689005 		Образование - действие (квалифицирующее значение)	Education - action (qualifier value)
