Код услуг	Наименование медицинских услуг
A12.06.064	Определение содержания антител к NMDA-рецепторам в крови
A12.06.065	Определение содержания антител к аннексину V в крови
A12.06.066	Определение содержания антител к эндомизию в крови
A12.06.067	Исследование молекул межклеточной адгезии (sE-Selectin, slCAM-1, slCAM-3, sPECAM-1, sP-Selection, sVCAM-1)
A12.06.068	Определение содержания аутоантител к коллагену I типа
A12.06.069	Определение содержания аутоантител к коллагену III типа
A12.06.070	Определение содержания аутоантител к коллагену VI типа
A12.06.071	Определение содержания антител к тканям яичника
A12.06.072	Определение содержания антител к металлопротеиназе ADAMTS-13 в плазме крови
A12.06.073	Исследование фактора некроза опухоли в сыворотке крови
A12.06.074	Определение содержания антител к рецептору ацетилхолина
A12.06.075	Определение содержания антител к фосфатидилсерину
A12.06.076	Определение содержания антител к Фактору H
A12.06.077	Определением чувствительности лейкоцитов крови к препаратам интерферона
A12.06.078	Определением чувствительности лейкоцитов крови к индукторам интерферона
A12.06.079	Определением чувствительности лейкоцитов крови к иммуномодуляторам
A12.07.001	Витальное окрашивание твердых тканей зуба
A12.07.002	Компьютерная диагностика заболеваний пародонта с использованием электронных зондирующих устройств
A12.07.003	Определение индексов гигиены полости рта
A12.07.004	Определение пародонтальных индексов
A12.07.005	Определение вкусовой чувствительности
A12.07.006	Определение секреторного иммуноглобулина A в слюне
A12.07.007	Микроскопическое исследование отделяемого из ротоглотки
A12.08.001	Акустическая ринометрия
A12.08.002	Исследование барофункции уха и придаточных пазух носа
A12.08.003	Передняя риноманометрия
A12.09.001	Исследование неспровоцированных дыхательных объемов и потоков
A12.09.001.001	Исследование неспровоцированных дыхательных объемов и потоков с использованием пикфлоуметра
A12.09.001.002	Осциллометрия импульсная
A12.09.001.003	Флоуметрия дыхания
A12.09.001.004	Дистанционное наблюдение за функциональными показателями внешнего дыхания
A12.09.002	Исследование спровоцированных дыхательных объемов
A12.09.002.001	Исследование дыхательных объемов с применением лекарственных препаратов
A12.09.002.002	Исследование дыхательных объемов при провокации физической нагрузкой
A12.09.002.003	Эргоспирометрия
A12.09.003	Гипервентиляционная, ортостатическая пробы
A12.09.004	Бодиплетизмография
A12.09.005	Пульсоксиметрия
A12.09.006	Исследование диффузионной способности легких
A12.09.007	Определение секреторного иммуноглобулина A в мокроте
A12.09.008	Бронхофонография
A12.09.009	Определение уровня оксида азота в выдыхаемом воздухе
A12.09.010	Микроскопическое исследование нативного и окрашенного препарата мокроты
A12.09.011	Микроскопическое исследование лаважной жидкости
A12.09.012	Исследование физических свойств мокроты
A12.09.013	Исследование физических свойств плевральной жидкости
A12.09.014	Микроскопическое исследование нативного и окрашенного препарата плевральной жидкости
A12.10.001	Электрокардиография с физической нагрузкой
A12.10.002	Электрокардиография с применением лекарственных препаратов
A12.10.003	Исследование сердечного выброса
A12.10.004	Исследование времени кровообращения
A12.10.005	Велоэргометрия
A12.12.001	Оценка объема циркулирующей крови
A12.12.002	Оценка дефицита циркулирующей крови
A12.12.003	Оценка проходимости вен нижних конечностей
A12.12.005	Флебоманометрия
A12.13.001	Оценка периферического сосудистого сопротивления
A12.13.002	Исследование резистентности (ломкости) микрососудов
A12.14.001	Определение секреторного иммуноглобулина A в желчи
A12.15.001	Исследование обмена глюкозы
A12.16.001	Пищеводная манометрия
A12.16.002	Определение времени желудочного переваривания
A12.16.003	Исследование базального выделения кислоты желудком
A12.16.004	Исследования реакций на инсулин
A12.16.005	Исследование реакции нарастания гистамина
A12.16.006	Определение секреторного иммуноглобулина A в желудочном содержимом
A12.16.007	Исследование физических свойств желудочного сока
A12.16.008	Микроскопическое исследование желудочного содержимого
A12.16.009	Исследование физических свойств дуоденального содержимого
A12.16.010	Исследование дуоденального содержимого микроскопическое
A12.17.001	Исследование всасывания витамина B12 (проба Шиллинга)
A12.19.003	Исследование эвакуаторной функции прямой кишки (дефекофлоуметрия)
A12.19.004	Определение кальпротектина в кале
A12.19.005	Исследование физических свойств каловых масс
A12.19.006	Микроскопическое исследование отделяемого из прямой кишки
A12.20.001	Микроскопическое исследование влагалищных мазков
A12.20.002	Микроскопическое исследование выделений из соска молочной железы
A12.20.003	Микроскопическое исследование секрета больших парауретральных и вестибулярных желез
A12.21.001	Микроскопическое исследование спермы
A12.21.002	"Тест ""смешанная антиглобулиновая реакция сперматозоидов"""
A12.21.003	Микроскопическое исследование уретрального отделяемого и сока простаты
A12.21.004	Микроскопическое исследование секрета крайней плоти
A12.21.005	Микроскопическое исследование осадка секрета простаты
A12.22.001	Определение реакции на стимуляцию адренокортикотропином
A12.22.002	Определение реакции соматотропного гормона на гипогликемию
A12.22.003	Определение реакции соматотропного гормона на гипергликемию
A12.22.004	Проведение пробы с тиролиберином
A12.22.005	Проведение глюкозотолерантного теста
A12.22.006	Проведение пробы с хорионическим гонадотропином
A12.22.007	Проведение пробы с гонадолиберином
A12.22.008	Проведение пробы гонадотропин-рилизинг гормоном
A12.22.009	Определение уровня рецепторов стероидных гормонов
A12.23.001	Серологическое исследование ликвора
A12.23.002	Молекулярно-биологическое исследование генов в тканях новообразований центральной нервной системы и головного мозга
A12.23.003	Исследование физических свойств спинномозговой жидкости
A12.23.004	Микроскопическое исследование спинномозговой жидкости, подсчет клеток в счетной камере (определение цитоза)
A12.25.001	Тональная аудиометрия
A12.25.001.001	Тональная аудиометрия в свободном звуковом поле
A12.25.001.002	Тональная аудиометрия со слуховым аппаратом в свободном звуковом поле
A12.25.001.003	Тональная аудиометрия с речевым процессором в свободном звуковом поле
A12.25.002	Речевая аудиометрия
A12.25.002.001	Речевая аудиометрия со слуховым аппаратом
A12.25.002.002	Речевая аудиометрия с речевым процессором в свободном звуковом поле
A12.25.002.003	Речевая аудиометрия при билатеральной стимуляции в свободном звуковом поле
A12.25.002.004	Речевая аудиометрия при бимодальной стимуляции в свободном звуковом поле
A12.25.003	Составление слухового паспорта
A12.25.004	Исследование слуха у новорожденного с помощью отоакустической эмиссии
A12.25.005	Импедансометрия
A12.25.006	Исследование функций слуховой трубы
A12.25.007	Тимпанометрия
A12.25.008	Дихотическое прослушивание
A12.25.009	Телеметрия нервного ответа с кохлеарным имплантом
A12.25.010	Игровая аудиометрия
A12.25.010.001	Игровая аудиометрия со слуховым аппаратом в свободном звуковом поле
A12.25.010.002	Игровая аудиометрия с речевым процессором в свободном звуковом поле
A12.25.011	Регистрация электрически вызванного стапедиального рефлекса с помощью импедансного аудиометра
A12.25.012	Определение чувствительности к ультразвуку и его латерализации
A12.26.001	Очаговая проба с антигеном вируса простого герпеса
A12.26.002	Очаговая проба с туберкулином
A12.26.003	Суточная тонометрия глаза
A12.26.004	Тонометрия глаза через 2 часа
A12.26.005	Эластотонометрия
A12.26.006	Тонометрическая проба Хеймса
A12.26.007	Нагрузочно-разгрузовные пробы для исследования регуляции внутриглазного давления
A12.26.009	Проведение гониоскопической компрессионной пробы Форбса
A12.26.010	Вакуумгониоскопия
A12.26.011	Гониоциклоскопия со склерокомпрессией
A12.26.012	Проведение пробы с лекарственными препаратами
A12.26.013	Проведение внутривенной флюоресцеиновой пробы
A12.26.015	Исследование фактора некроза опухоли в слезной жидкости
A12.26.016	Авторефрактометрия с узким зрачком
A12.26.017	Определение акустической плотности склеры
A12.26.018	Исследование биомеханических свойств глаза
A12.26.019	Видеокератотопография
A12.26.020	Конфокальная микроскопия роговицы
A12.26.021	Кристаллографическое исследование слезы в поляризованном свете
A12.26.022	Микроскопия содержимого конъюнктивной полости
A12.28.001	Цистометрография
A12.28.002	Исследование функции нефронов по клиренсу креатинина (проба Реберга)
A12.28.003	Тесты тубулярной реабсорбции
A12.28.004	Хромоцистоскопия
A12.28.005	Исследование объема остаточной мочи
A12.28.006	Измерение скорости потока мочи (урофлоуметрия)
A12.28.007	Цистометрия
A12.28.008	Профилометрия внутриуретрального давления
A12.28.009	Определение секреторного иммуноглобулина A в моче
A12.28.010	Определение уровня гликозаминогликанов мочи
A12.28.010.001	Электрофоретическое исследование гликозаминогликанов мочи
A12.28.011	Микроскопическое исследование осадка мочи
A12.28.012	Определение объема мочи
A12.28.013	Определение удельного веса (относительной плотности) мочи
A12.28.014	Визуальное исследование мочи
A12.28.015	Микроскопическое исследование отделяемого из уретры
A12.30.001	Исследование показателей основного обмена
A12.30.002	Определение опухолевого генотипа
A12.30.004	Суточное прикроватное мониторирование жизненных функций и параметров
A12.30.005	Оценка функционального состояния организма и определение точек (зон) воздействия
A12.30.006	Лазерная спектрофотометрия
A12.30.007	Определение (исследование) устойчивости организма к декомпрессионному внутрисосудистому газообразованию
A12.30.008	Определение (исследование) устойчивости организма к наркотическому действию азота
A12.30.009	Определение (исследование) устойчивости организма к токсическому действию кислорода
A12.30.010	Витрификация бластоцист
A12.30.011	Проведение вспомогательного хетчинга
A12.30.012	Исследование биологического материала методом проточной цитофлуориметрии
A12.30.012.001	Иммунофенотипирование биологического материала для выявления маркеров гемобластозов
A12.30.012.002	Иммунофенотипирование биологического материала для выявления маркеров минимальной остаточной болезни при гемобластозах
A12.30.012.003	Подсчет стволовых клеток в биологическом материале методом проточной цитофлуориметрии
A12.30.012.004	Иммунофенотипирование биологического материала для выявления негемопоэтических маркеров
A12.30.012.005	Иммунофенотипирование периферической крови для выявления субпопуляционного состава лимфоцитов (основные)
A12.30.012.006	Иммунофенотипирование периферической крови для выявления субпопуляционного состава лимфоцитов (малые)
A12.30.012.007	Исследование фагоцитарной активности лейкоцитов периферической крови методом проточной цитофлуориметрии
A12.30.012.008	Исследование активации базофилов аллергенами методом проточной цитофлуориметрии
A12.30.012.009	Определения антигена HLA-B27 методом проточной цитофлуориметрии
A12.30.012.010	Исследование клеточного цикла и плоидности клеток биологического материала методом проточной цитофлуориметрии (ДНК-цитометрия)
A12.30.012.011	Определение содержания биологически-активных веществ с использованием CBA-технологии методом проточной цитофлуориметрии
A12.30.012.012	Иммунофенотипирование клеток периферической крови для диагностики пароксизмальной ночной гемоглобинурии расширенной панелью маркеров, включая FLAER (флюоресцентно-меченый аэролизин)
A12.30.013	Микроскопическое исследование перитонеальной (асцитической) жидкости
A12.30.014	Определение международного нормализованного отношения (МНО)
A12.30.014.001	Дистанционное наблюдение за показателями международного нормализованного отношения (МНО)
A13.23.001	Медико-логопедическое исследование при дисфагии
A13.23.002	Медико-логопедическое исследование при афазии
A13.23.003	Медико-логопедическое исследование при дизартрии
A13.23.004	Медико-логопедическая процедура при дисфагии
A13.23.005	Медико-логопедическая процедура при афазии
A13.23.006	Медико-логопедическая процедура при дизартрии
A13.23.007	Медико-логопедическая тонально-ритмическая процедура
A13.23.008	Медико-логопедическая процедура с использованием интерактивных информационных технологий
A13.23.009	Индивидуальная нейро-психологическая коррекционно-восстановительная процедура у пациентов с афазией
A13.23.010	Групповая нейро-психологическая коррекционно-восстановительная процедура у пациентов с афазией
A13.23.011	Нейро-психологическая коррекционно-восстановительная процедура при нарушениях психических функций
A13.29.001	Психопатологическое обследование
A13.29.002	Клинико-социальная трудотерапия
A13.29.002.001	Клинико-социальная функциональная трудотерапия
A13.29.002.003	Визуальное исследование больного с нарушениями психической сферы
A13.29.003	Клинико-психологическая адаптация
A13.29.003.001	Клинико-психологическое психодиагностическое обследование
A13.29.004	Клинико-психологическая терапия средой
A13.29.005	Клинико-психологическое нейропсихологическое обследование
A13.29.005.001	Специализированное нейропсихологическое обследование
A13.29.006	Клинико-психологическое консультирование
A13.29.006.001	Индивидуальное клинико-психологическое консультирование
A13.29.006.002	Групповое клинико-психологическое консультирование
A13.29.006.003	Семейное клинико-психологическое консультирование
A13.29.007	Клинико-психологическая коррекция
A13.29.007.001	Индивидуальная клинико-психологическая коррекция
A13.29.007.002	Групповая клинико-психологическая коррекция
A13.29.008	Психотерапия
A13.29.008.001	Индивидуальная психотерапия
A13.29.008.002	Групповая психотерапия
A13.29.009	Экспертное консультирование
A13.29.011	Социально-реабилитационная работа
A13.29.012	Процедуры двигательного праксиса
A13.29.013	Процедуры по адаптации к условиям микросреды
A13.29.014	Процедуры по адаптации к условиям макросреды
A13.29.015	Оценка поведения больного с психическими расстройствами
A13.29.016	Селективный амобарбиталовый тест
A13.29.017	Социально-психологическое консультирование больных ВИЧ-инфекцией
A13.29.018	Гипнотерапия
A13.29.019	Арттерапия
A13.29.020	Клинико-психологический тренинг
A13.30.001	Обучение самоуходу
A13.30.002	Обучение уходу за новорожденным
A13.30.003	Аутогенная тренировка
A13.30.004	Обучение близких уходу за тяжелобольным пациентом
A13.30.005	Подготовка беременных к родам
A13.30.006	Обучение уходу за больным ребенком
A13.30.007	Обучение гигиене полости рта
A13.30.007.001	Обучение гигиене полости рта у ребенка
A14.01.001	Уход за кожей тяжелобольного пациента
A14.01.002	Уход за волосами, ногтями, бритье тяжелобольного пациента
A14.01.003	Постановка горчичников
A14.01.004	Постановка банок
A14.01.005	Очищение кожи лица и шеи
A14.01.006	Вапоризация кожи лица
A14.01.007	Наложение горячего компресса на кожу лица
A14.01.008	Очищение кожи лица с помощью ложки Уны
A14.01.009	Удаление камедонов кожи
A14.01.010	Удаление милиумов кожи
A14.01.011	Удаление кожного сала
A14.01.012	Проведение депиляции
A14.01.013	Проведение эпиляции
A14.01.014	Втирание растворов в волосистую часть головы
A14.01.015	Бритье кожи предоперационное или поврежденного участка
A14.05.001	Постановка пиявок
A14.07.001	Уход за полостью рта тяжелобольного пациента в условиях реанимации и интенсивной терапии
A14.07.002	Уход за полостью рта тяжелобольного пациента
A14.07.003	Гигиена полости рта и зубов
A14.07.005	Отсасывание слизи из ротоглотки
A14.07.006	Пособие при оростомах, эзофагостомах
A14.07.007	Оценка состоятельности глотания
A14.07.008	Обучение гигиене полости рта и зубов индивидуальное, подбор средств и предметов гигиены полости рта
A14.08.001	Уход за респираторным трактом в условиях искусственной вентиляции легких
A14.08.002	Пособие при трахеостоме
A14.08.003	Уход за назогастральным зондом, носовыми канюлями и катетером
A14.08.004	Отсасывание слизи из верхних дыхательных путей
A14.08.004.001	Отсасывание слизи из носа
A14.08.005	Пособие при фарингостоме
A14.08.006	Введение лекарственных препаратов интраназально
A14.12.001	Уход за сосудистым катетером
A14.12.002	Уход за артериальным портом
A14.12.003	Уход за сосудистым доступом для экстракорпорального диализа
A14.12.004	Уход за перитонеальным катетером
A14.16.001	Пособие при гастростомах
A14.16.002	Уход за назогастральным зондом
A14.16.003	Кормление тяжелобольного пациента через гастростому
A14.17.001	Пособие при илеостоме
A14.17.002	Уход за интестинальным зондом
A14.17.003	Кормление тяжелобольного пациента через интестинальный зонд
A14.17.004	Обучение уходу за илеостомой
A14.18.001	Пособие при стомах толстой кишки
A14.18.002	Введение бария через колостому
A14.18.003	Обучение уходу за колостомой
A14.19.001	Пособие при дефекации тяжелобольного пациента
A14.19.002	Постановка очистительной клизмы
A14.19.003	Постановка газоотводной трубки
A14.19.004	Удаление копролита
A14.19.005	Пособие при недержании кала
A14.19.006	Постановка сифонной клизмы
A14.20.001	Спринцевание влагалища
A14.20.002	Введение, извлечение влагалищного поддерживающего кольца (пессария)
A14.25.001	Уход за наружным слуховым проходом
A14.26.001	Уход за глазами тяжелобольного пациента
A14.26.002	Инстилляция лекарственных веществ в конъюнктивную полость
A14.28.001	Пособие при мочеиспускании тяжелобольного пациента
A14.28.002	Уход за мочевым катетером
A14.28.003	Уход за цистостомой и уростомой
A14.28.004	Пособие при недержании мочи
A14.30.001	Перемещение и/или размещение тяжелобольного пациента в постели
A14.30.002	Транспортировка тяжелобольного пациента внутри учреждения
A14.30.003	Кормление тяжелобольного пациента через рот и/или назогастральный зонд
A14.30.004	Приготовление и смена постельного белья тяжелобольному пациенту
A14.30.005	Пособие по смене белья и одежды тяжелобольному пациенту
A14.30.007	Уход за промежностью и наружными половыми органами тяжелобольного пациента
A14.30.008	Уход за пупочной ранкой новорожденного
A14.30.009	Пеленание новорожденного
A14.30.010	Уход за дренажом
A14.30.011	Пособие при парентеральном введении лекарственных препаратов
A14.30.012	Оценка степени риска развития пролежней
A14.30.013	Оценка степени тяжести пролежней
A14.30.014	Оценка интенсивности боли
A14.30.015	Обучение членов семьи пациента технике перемещения и/или размещения в постели
A14.30.016	Обучение пациента самопомощи при перемещении в постели и/или кресле
A14.30.017	Обучение пациента перемещению на костылях
A14.30.018	Обучение пациента самопомощи при перемещении с помощью дополнительной опоры
A15.01.001	Наложение повязки при нарушении целостности кожных покровов
A15.01.001.001	Наложение повязки при ожогах
A15.01.002	Наложение повязки при гнойных заболеваниях кожи и подкожной клетчатки
A15.01.003	Наложение повязки при операции в челюстно-лицевой области
A15.02.001	Наложение повязки при заболеваниях мышц
A15.02.002	Наложение иммобилизационной повязки при синдроме длительного сдавливания
A15.03.001	Наложение повязки при переломах костей
A15.03.001.001	Наложение торако-брахиальной повязки
A15.03.001.002	Наложение кокситной повязки
A15.03.002	Наложение иммобилизационной повязки при переломах костей
A15.03.002.001	Наложение иммобилизационной повязки при переломах позвоночника
A15.03.003	Наложение гипсовой повязки при переломах костей
A15.03.003.001	Наложение торако-краниальной гипсовой повязки
A15.03.003.002	Наложение циркулярной гипсовой повязки
A15.03.004	Наложение корсета при патологии шейного отдела позвоночника
A15.03.005	Наложение корсета при патологии грудного отдела позвоночника
A15.03.006	Наложение корсета при патологии поясничного отдела позвоночника
A15.03.007	Наложение шины при переломах костей
A15.03.008	Наложение иммобилизационной повязки при операциях на костях
A15.03.009	Наложение повязки при операциях на костях
A15.03.010	Снятие гипсовой повязки (лонгеты)
A15.03.010.001	Снятие циркулярной гипсовой повязки
A15.03.011	Снятие шины с одной челюсти
A15.04.001	Наложение повязки при вывихах (подвывихах) суставов
A15.04.002	Наложение иммобилизационной повязки при вывихах (подвывихах) суставов
A15.04.003	Наложение повязки при операциях на суставах
A15.06.001	Наложение повязки при нарушении целостности лимфатической системы
A15.07.001	Наложение иммобилизационной повязки при вывихах (подвывихах) зубов
A15.07.002	Наложение повязки при операциях в полости рта
A15.07.003	Наложение лечебной повязки при заболеваниях слизистой оболочки полости рта и пародонта в области одной челюсти
A15.08.001	Наложение пращевидной повязки на нос при переломах и после операций
A15.08.002	Наложение повязки при операциях на органах верхних дыхательных путей
A15.09.001	Наложение окклюзионной повязки на грудную клетку
A15.12.001	Наложение повязки при повреждении (ранении) сосудов
A15.12.002	Эластическая компрессия нижних конечностей
A15.12.002.001	Прерывистая пневмокомпрессия нижних конечностей
A15.12.003	Эластическая компрессия верхних конечностей
A15.19.001	Наложение повязки при операциях на прямой кишке
A15.20.001	Наложение повязки при операциях на женских половых органах и органах малого таза
A15.21.001	Наложение повязки при операциях на наружных мужских половых органах
A15.22.001	Наложение повязки при операциях на железах внутренней секреции
A15.23.001	Наложение повязки при операциях на головном мозге
A15.25.001	Наложение повязки при операциях на органе слуха
A15.26.001	Наложение повязки при операциях на органе зрения
A15.26.002	Наложение монокулярной и бинокулярной повязки (наклейки, занавески) на глазницу
A15.27.001	Наложение повязки при операциях на органе обоняния
A15.30.001	Наложение повязки при полостных операциях органов брюшной полости
A15.30.002	Наложение повязки при полостных операциях органов грудной полости
A15.30.002.001	Наложение повязки после торакостомии
A15.30.002.002	Наложение повязки после торакопластики и торакомиопластики
A15.30.003	Пособие по наложению бандажа и/или фиксирующих устройств при бедренной грыже
A15.30.004	Пособие по наложению бандажа при пупочной грыже
A15.30.005	Пособие по наложению бандажа при беременности
A15.30.006	Наложение повязки при пролежнях III и/или IV степеней тяжести
A15.30.007	Наложение повязки при полостных операциях на органах забрюшинного пространства
A15.30.008	Наложение повязки при операциях на органах шеи
A15.30.010	Наложение повязки при термических и химических ожогах
A16.01.001	Удаление поверхностно расположенного инородного тела
A16.01.002	Вскрытие панариция
A16.01.003	Некрэктомия
A16.01.003.001	Некрэктомия ультразвуковая
A16.01.003.002	Некрэктомия гнойно-некротического очага стопы (голени)
A16.01.003.003	Некрэктомия гнойно-некротического очага стопы (голени) с использованием гидрохирургического скальпеля
A16.01.003.004	Некрэктомия гнойно-некротического очага стопы (голени) с установкой NPWT системы
A16.01.003.005	Некрэктомия гнойно-некротического очага стопы (голени) с установкой NPWT системы гидрохирургическим скальпелем
A16.01.003.006	Некрэктомия с использованием гидрохирургической системы
A16.01.003.007	Некрэктомия с помощью лазера
A16.01.004	Хирургическая обработка раны или инфицированной ткани
A16.01.004.001	Хирургическая обработка раны гидрохирургическим скальпелем
A16.01.004.002	Ревизия послеоперационной раны под наркозом
A16.01.005	Иссечение поражения кожи
A16.01.005.001	Широкое иссечение меланомы кожи
A16.01.005.002	Широкое иссечение меланомы кожи с реконструктивно-пластическим компонентом
A16.01.005.003	Широкое иссечение меланомы кожи комбинированное
A16.01.005.004	Широкое иссечение меланомы кожи расширенное
A16.01.005.005	Широкое иссечение новообразования кожи с реконструктивно-пластическим компонентом
A16.01.006	Иссечение поражения подкожно-жировой клетчатки
A16.01.006.001	Фасциально-футлярное иссечение клетчатки шеи
A16.01.007	Широкие лампасные разрезы
A16.01.008	Сшивание кожи и подкожной клетчатки
A16.01.008.001	Наложение вторичных швов
A16.01.009	Ушивание открытой раны (без кожной пересадки)
A16.01.010	Аутодермопластика
A16.01.010.001	Кожная пластика для закрытия раны с использованием метода дерматензии
A16.01.010.002	Пластика раны местными тканями
A16.01.010.004	Перекрестная кожная пластика
A16.01.010.005	Свободная кожная пластика дерматомным перфорированным лоскутом
A16.01.011	Вскрытие фурункула (карбункула)
A16.01.012	Вскрытие и дренирование флегмоны (абсцесса)
A16.01.012.001	Вскрытие флегмоны (абсцесса) стопы (голени)
A16.01.012.002	Вскрытие флегмоны (абсцесса) стопы использованием гидрохирургического скальпеля
A16.01.012.003	Вскрытие флегмоны (абсцесса) стопы использованием гидрохирургического скальпеля и установкой NPWT системы
A16.01.012.004	Вскрытие и дренирование флегмоны (абсцесса) челюстно-лицевой области внеротовым доступом
A16.01.013	Удаление сосудистой мальформации
A16.01.014	Удаление звездчатой ангиомы
A16.01.015	Удаление телеангиоэктазий
A16.01.016	Удаление атеромы
A16.01.017	Удаление доброкачественных новообразований кожи
A16.01.017.001	Удаление доброкачественных новообразований кожи методом электрокоагуляции
A16.01.018	Удаление доброкачественных новообразований подкожно-жировой клетчатки
A16.01.019	Вскрытие инфильтрата (угревого элемента) кожи и подкожно-жировой клетчатки
A16.01.020	Удаление контагиозных моллюсков
A16.01.021	Удаление татуировки
A16.01.022	Дермабразия
A16.01.022.001	Дермабразия рубцов
A16.01.023	Иссечение рубцов кожи
A16.01.023.001	Иссечение рубцов передней брюшной стенки
A16.01.023.002	Иссечение келлоидных рубцов кисти
A16.01.024	Дерматологический пилинг
A16.01.025	Трансплантация волос головы
A16.01.026	Внутрикожная контурная пластика
A16.01.026.001	Внутрикожная контурная пластика с расположением швов в элементах ушных раковин
A16.01.027	Удаление ногтевых пластинок
A16.01.027.001	Удаление ногтевой пластинки с клиновидной резекцией матрикса
A16.01.027.002	Удаление ногтевой пластинки при помощи лазера
A16.01.028	Удаление мозоли
A16.01.029	Некротомия
A16.01.030	Иссечение грануляции
A16.01.030.001	Иссечение грануляции ультразвуковое
A16.01.031	Устранение рубцовой деформации
A16.01.031.001	Устранение рубцовой деформации с замещением дефекта местными тканями
A16.01.031.002	Устранение рубцовой деформации челюстно-лицевой области и шеи ротационным лоскутом на сосудистой ножке
A16.01.031.003	Устранение рубцовой деформации челюстно-лицевой области и шеи с замещением дефекта реваскуляризированным лоскутом
A16.01.034	Удаление подкожно-жировой клетчатки (липосакция)
A16.01.034.001	Удаление подкожно-жировой клетчатки методом вакуумной аспирации
A16.01.034.002	Удаление подкожно-жировой клетчатки тумисцентным методом
A16.01.034.003	Удаление подкожно-жировой клетчатки с помощью электрического высокочастотного импульса
